;EC50;StdErr;Lower;Upper;pvalue;Set;Strain
ARLE_A1_1;3,73075959137966;0,981195436270717;1,66061817503675;5,80090100772258;0,00142384480192371;1;ARLE_A1
INMO_C3_1;2,47548533816108;0,387562153707545;1,65780066889027;3,29317000743188;0,00000675201877425134;1;INMO_C3
KSSH_C3_1;3,47229649101185;1,27510627322047;0,782057412378314;6,16253556964538;0,0144586690756463;1;KSSH_C3
MISTJ_D5_1;6,99816965019099;1,9656658353463;2,85097724996263;11,1453620504194;0,00240814846648793;1;MISTJ_D5
MIVB_A6_1;4,60789641496784;1,5768522476672;1,28102897889811;7,93476385103757;0,00950415412563995;1;MIVB_A6
Mo4a_1;2,9076025846429;0,736649820772074;1,35340731736985;4,46179785191594;0,00103994047845445;1;Mo4a
STJ_7P2ss_1;3,5933548494485;1,17462939880914;1,10325176229194;6,08345793660507;0,00749416444770649;1;STJ_7P2ss
ARLE_B2_10;3,67961744505897;0,537281630296502;2,54605229177573;4,81318259834221;0,00000282757730655773;10;ARLE_B2
Ber1-9_10;3,43860480921685;0,388885399590866;2,61812833516811;4,2590812832656;0,0000000910341890267053;10;Ber1-9
INMO_A6_10;4,47327823748703;0,817836265884488;2,74779454360691;6,19876193136715;0,0000415264151449951;10;INMO_A6
INMO_E1_10;3,1602449626642;0,408205500222076;2,29900663933843;4,02148328598998;0,000000568870732514865;10;INMO_E1
KSSH_C5_10;3,42785014547606;0,53152012684871;2,30644070191871;4,5492595890334;0,00000599845439097438;10;KSSH_C5
KSSH_G2_10;3,72822980423199;0,604972962846573;2,45184842305031;5,00461118541366;0,0000104260626075501;10;KSSH_G2
MIBer_A1_10;3,7922428138876;0,472836289460523;2,79464544461889;4,78984018315632;0,000000352666066943158;10;MIBer_A1
MIBer_B4_10;3,74445077984489;0,578863200580837;2,52315618182499;4,96574537786479;0,00000577947450425778;10;MIBer_B4
MIBer_F3_10;3,74667334276007;0,553322729198453;2,57926442912792;4,91408225639221;0,0000032653634871072;10;MIBer_F3
MIIN_B7_10;2,3182175362064;0,175640954820973;1,9476475136196;2,68878755879321;0,000000000231445140116968;10;MIIN_B7
MIVB_A1_10;3,20143466401704;0,372375072215417;2,41579193586015;3,98707739217393;0,000000135084844892871;10;MIVB_A1
MIVB_C1_10;3,78486811060036;0,500814223934845;2,72824245934212;4,8414937618586;0,00000078515713752052;10;MIVB_C1
Mo1a_2_10;3,70508239754821;0,496903515234;2,65670762042738;4,75345717466904;0,000000938678417880562;10;Mo1a_2
MISTJ_E4_11;4,0023349267249;1,47822709393502;0,883548376365515;7,12112147708429;0,0149384944156627;11;MISTJ_E4
MISTJ_F6_11;4,49671203151341;1,06354113643814;2,25283637418967;6,74058768883716;0,000566288438854254;11;MISTJ_F6
STJ_3a_11;3,54788541464022;0,996553481584293;1,44534135504965;5,65042947423079;0,00240839702021602;11;STJ_3a
ARLE_C1_12;2,58484574632532;0,143071573361666;2,28299111210175;2,88670038054888;0,0000000000015653384435578;12;ARLE_C1
INMO_A3_12;2,6695118716175;0,248474690631504;2,14527609862584;3,19374764460917;0,00000000535712544823329;12;INMO_A3
INMO_F1_12;4,72893739949474;1,12156716970298;2,36263751326896;7,09523728572051;0,00058074949598722;12;INMO_F1
KSSH_A1_12;3,27548757317272;0,356512612978946;2,52331170861568;4,02766343772976;0,0000000528137176159601;12;KSSH_A1
KSSH_A2_12;2,17222804489374;0,181644735905645;1,78899115144859;2,55546493833889;0,00000000106075971334209;12;KSSH_A2
MISTJ_C6_12;2,42786229508906;0,446493210211184;1,4858439647887;3,36988062538942;0,0000443305810829541;12;MISTJ_C6
MITU_B1_12;4,01107175243307;1,46289264299132;0,924638065552226;7,09750543931391;0,0139026462833875;12;MITU_B1
MITU_C2_12;2,12510658547426;0,200734879269484;1,70159301017702;2,54862016077151;0,00000000667109543307121;12;MITU_C2
MIVB_A5_12;3,79316323460556;0,44537190345054;2,85351065477633;4,73281581443478;0,00000015404440143875;12;MIVB_A5
Mo2a_12;2,59449507088782;0,160113924723558;2,25668421827803;2,93230592349762;0,00000000000903892217681769;12;Mo2a
13Fv163_13;2,47047505478375;0,16512477243294;2,11631764102413;2,82463246854338;0,000000000526656495488756;13;13Fv163
13Fv182_13;2,29941819316716;0,285450848164576;1,68718701396893;2,91164937236539;0,00000126364469728548;13;13Fv182
13Fv185_13;3,52457187837329;0,372257812081563;2,72615827854734;4,32298547819923;0,000000183041504199995;13;13Fv185
13Fv186_13;2,15232563106014;0,227441377919942;1,66451239141577;2,64013887070452;0,000000184199517366296;13;13Fv186
13Fv193_13;3,71214927071817;0,478709526255042;2,68541945142692;4,73887909000942;0,00000196470211166312;13;13Fv193
13Fv196_13;3,18202245613053;0,292416792293344;2,55485081269614;3,80919409956492;0,0000000324788022347951;13;13Fv196
14Fv1_13;5,23509980985014;0,865075867981123;3,37969660416529;7,09050301553499;0,0000297897178114498;13;14Fv1
14Fv12_13;2,8127381872813;0,227176235354022;2,32549362188271;3,29998275267989;0,00000000625374616552978;13;14Fv12
14Fv14_13;2,24002506648443;0,169659412393787;1,87614181730228;2,60390831566658;0,00000000271862512131673;13;14Fv14
14Fv21_13;2,81382402084872;0,224224691717225;2,33290988695114;3,2947381547463;0,00000000525567410317057;13;14Fv21
14Fv26_13;2,61859261937413;0,249607964125982;2,08323678071846;3,1539484580298;0,0000000514366923025853;13;14Fv26
14Fv9_13;2,60766668448504;0,255851165946202;2,05892050967537;3,1564128592947;0,0000000737597467301293;13;14Fv9
ARLE_C2_14;2,34201178344042;0,304803166261315;1,69893331508938;2,98509025179146;0,000000629380238072698;14;ARLE_C2
Ca1a_14;4,4671045534418;1,3977304447708;1,51815108745248;7,41605801943111;0,00529325409486472;14;Ca1a
DB_P30R5_14;2,90433622234052;0,336608834172413;2,19415366036725;3,61451878431378;0,000000128473421714161;14;DB_P30R5
Hu-11-1_14;2,34403729658077;0,243877143279123;1,82950150061299;2,85857309254855;0,000000027584957444139;14;Hu-11-1
KSSH_A7_14;2,34814287569635;0,310740211154112;1,69253833754419;3,00374741384851;0,00000078628889819301;14;KSSH_A7
MIBer_A6_14;3,79810735162346;0,812244697297409;2,08442083625288;5,51179386699404;0,000216955244005688;14;MIBer_A6
MIIN_B7_14;2,03791194777359;0,226960684630892;1,55906675978362;2,51675713576356;0,0000000732352592614957;14;MIIN_B7
MISTJ_E4_14;2,29755759600401;0,228975220526655;1,81446210879905;2,78065308320897;0,0000000147291157042075;14;MISTJ_E4
Mont1_14;9,33731333702272;2,00410664845934;5,10901791046389;13,5656087635816;0,000224921909265817;14;Mont1
VB-1_14;2,44773787737085;0,2741898561697;1,86924784754014;3,02622790720156;0,0000000795187437880582;14;VB-1
AL1a_2;3,09528742699721;0,487617778244161;2,06650384242921;4,12407101156521;0,00000728505138947205;2;AL1a
AL1b_2;2,4815487677255;0,434345238336009;1,56516041772646;3,39793711772454;0,0000253642634736282;2;AL1b
INMO_F1_2;2,50080294672393;0,331672901771509;1,79385889096855;3,2077470024793;0,00000177181057027806;2;INMO_F1
KSSH_A2_2;2,83680481667984;0,397432311988378;1,99829593371245;3,67531369964723;0,0000016625964604876;2;KSSH_A2
MITU_A3_2;2,91895532270664;0,4095996857336;2,05477552507026;3,78313512034302;0,00000169761175302554;2;MITU_A3
MITU_C3a_2;3,7341236024157;0,825357358703879;1,9927717897429;5,47547541508851;0,000299799860049791;2;MITU_C3a
MIVB_A5_2;1,20483806546478;0,109897777792078;0,962954687417366;1,44672144351219;0,000000292778063600705;2;MIVB_A5
MIVB_B4_2;2,11953646903488;0,612596023112875;0,771221713032291;3,46785122503747;0,00533386208523461;2;MIVB_B4
Mo1a_2;3,36689629824162;0,493339152253579;2,32604166966194;4,4077509268213;0,00000295576664204264;2;Mo1a
Mo2a_2;2,2725858406726;0,424229184634777;1,37754049835862;3,16763118298658;0,0000522884953568793;2;Mo2a
ST-11-1_2;2,54015958167494;0,271848934946603;1,9666084639072;3,11371069944268;0,00000004146060689434;2;ST-11-1
ARLE_C1_3;3,78406560599278;1,49840270033245;0,622712246963865;6,9454189650217;0,0217837610102789;3;ARLE_C1
INMO_B6_3;2,36984541127002;0,414932358184541;1,49022810633624;3,2494627162038;0,0000321369295759484;3;INMO_B6
KA-11-1_3;4,89958193880314;0,539872255062131;3,76055104503306;6,03861283257323;0,0000000629286089350597;3;KA-11-1
MIBer_B3_3;3,6579992563475;0,440587533725976;2,72844081429327;4,58755769840172;0,000000219382649319939;3;MIBer_B3
