isolate,state_loc_cont,countryCode,country,state,county,fieldCode,continent,GPC_coordinate,year,putativeSpp,qPCRAssay,storeSlant,storeFreezer,storeCryogenic,storeBin,identifiedSpp,seqEF,seqIGS,seqRPB2,seqBin,SSR43,SSR12,SSR93,SSR83,SSR4,SSR15,SSR99,SSR48,SSR38,SSR80,SSR59,SSR10
34551,Argentina_ArgGeneral_SouAm,ARG,Argentina,N/A,,N/A,SouthAmerica,,,F. virguliforme,,1,1,1,7,,,,,,209,224,193,231,185,212,234,284,232,163,204,228
34553,Argentina_ArgGeneral_SouAm,ARG,Argentina,N/A,,N/A,SouthAmerica,,,F. virguliforme,,1,0,1,5,,,,,,209,224,193,231,205,212,210,284,202,163,204,228
36605,Argentina_ArgGeneral_SouAm,ARG,Argentina,N/A,,N/A,SouthAmerica,,,F. virguliforme,,1,1,1,7,,,,,,209,224,193,231,205,212,210,284,232,163,204,228
36606,Argentina_ArgGeneral_SouAm,ARG,Argentina,N/A,,N/A,SouthAmerica,,,F. virguliforme,,,,,,,,,,,209,224,193,231,205,212,210,284,232,163,204,228
36607,Argentina_ArgGeneral_SouAm,ARG,Argentina,N/A,,N/A,SouthAmerica,,,F. virguliforme,,,,,,,,,,,209,226,193,231,205,212,210,284,232,163,204,228
36610,Argentina_ArgGeneral_SouAm,ARG,Argentina,N/A,,N/A,SouthAmerica,,,F. virguliforme,,,,,,,,,,,212,224,193,231,0,212,210,284,232,163,204,228
36611,Argentina_ArgGeneral_SouAm,ARG,Argentina,N/A,,N/A,SouthAmerica,,,F. virguliforme,,,,,,,,,,,209,224,193,231,205,212,210,284,232,163,204,228
36896,Argentina_ArgGeneral_SouAm,ARG,Argentina,N/A,,N/A,SouthAmerica,,,F. virguliforme,,,,,,,,,,,212,194,193,231,205,218,210,284,208,163,204,228
36897,Argentina_ArgGeneral_SouAm,ARG,Argentina,N/A,,N/A,SouthAmerica,,,F. virguliforme,,,,,,,,,,,212,224,193,231,205,212,210,284,202,163,204,228
36898,Argentina_ArgGeneral_SouAm,ARG,Argentina,N/A,,N/A,SouthAmerica,,,F. virguliforme,,,,,,,,,,,209,224,193,231,211,212,210,284,286,163,204,228
36899,Argentina_ArgGeneral_SouAm,ARG,Argentina,N/A,,N/A,SouthAmerica,,,F. virguliforme,,,,,,,,,,,212,224,193,231,205,212,210,284,190,163,204,228
36900,Argentina_ArgGeneral_SouAm,ARG,Argentina,N/A,,N/A,SouthAmerica,,,F. virguliforme,,,,,,,,,,,212,224,193,231,205,212,210,284,208,163,204,228
37591,Argentina_ArgGeneral_SouAm,ARG,Argentina,N/A,,N/A,SouthAmerica,,,F. virguliforme,,,,,,,,,,,143,212,166,219,207,212,240,278,232,187,204,243
54291,Argentina_ArgGeneral_SouAm,ARG,Argentina,N/A,,N/A,SouthAmerica,,,F. virguliforme,,,,,,,,,,,215,224,193,231,205,212,210,290,226,163,204,228
KOD-14,Argentina_ArgGeneral_SouAm,ARG,Argentina,N/A,,N/A,SouthAmerica,,,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,187,204,246
KOD-2,Argentina_ArgGeneral_SouAm,ARG,Argentina,N/A,,N/A,SouthAmerica,,,F. virguliforme,,,,,,,,,,,209,226,193,231,205,212,210,284,208,163,204,207
KOD-21,Argentina_ArgGeneral_SouAm,ARG,Argentina,N/A,,N/A,SouthAmerica,,,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,216,278,232,187,204,246
KOD-28,Argentina_ArgGeneral_SouAm,ARG,Argentina,N/A,,N/A,SouthAmerica,,,F. virguliforme,,,,,,,,,,,143,210,166,219,205,212,210,278,232,187,204,246
KOD-32,Argentina_ArgGeneral_SouAm,ARG,Argentina,N/A,,N/A,SouthAmerica,,,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,187,204,246
KOD-33,Argentina_ArgGeneral_SouAm,ARG,Argentina,N/A,,N/A,SouthAmerica,,,F. virguliforme,,,,,,,,,,,212,226,193,231,205,212,210,284,202,163,204,228
KOD-36,Argentina_ArgGeneral_SouAm,ARG,Argentina,N/A,,N/A,SouthAmerica,,,F. virguliforme,,,,,,,,,,,209,226,193,231,205,212,210,296,208,163,204,231
