Isolate,Trial,rep,0,0.01,0.1,1,5,10,20,100
13Fv167,1,1,49,,50,35,24,12,,0
13Fv167,1,2,49,,47,39,18,6,,0
13Fv173,1,1,49.5,,48,34,18,7,,0
13Fv173,1,2,49.5,,49,29,16,7,,0
13Fv180,1,1,49,,47,24,7,3,,0
13Fv180,1,2,49,,42,19,8,5,,0
10Fv680,1,1,48.5,,49,33,15,6,,0
10Fv680,1,2,48.5,,47,32,12,8,,0
10Fv680,2,1,49.5,50,48,38,17,8,,
10Fv680,2,2,49.5,50,50,36,18,7,,
13Fv167,2,1,49,49,49,31,20,10,,
13Fv167,2,2,49,50,49,35,21,9,,
13Fv180,2,1,49.5,50,49,33,19,9,,
13Fv180,2,2,49.5,50,47,32,18,6,,
13Fv169,2,1,49,49,48,38,16,8,,
13Fv169,2,2,49,49,47,37,21,10,,
13Fv173,2,1,50,50,48,38,23,10,,
13Fv173,2,2,50,50,50,39,18,8,,
10Fv680,3,1,50,49,50,28,6,1,,
10Fv680,3,2,50,48,48,29,8,2,,
13Fv176,3,1,50,49,47,30,4,0,,
13Fv176,3,2,50,49,48,31,7,0,,
13Fv179,3,1,49.5,48,44,29,8,3,,
13Fv179,3,2,49.5,50,45,32,10,1,,
13Fv171,3,1,49.5,50,47,30,19,18,,
13Fv171,3,2,49.5,46,47,32,17,18,,
13Fv180,3,1,50,49,46,32,15,2,,
13Fv180,3,2,50,49,49,35,16,5,,
13Fv169,3,1,49.5,49,49,32,10,5,,
13Fv169,3,2,49.5,49,48,35,7,2,,
13Fv176,4,1,49.5,,48,41,19,4,5,
13Fv176,4,2,49.5,,46,36,16,8,4,
10Fv680,4,1,49.5,,50,36,19,5,2,
10Fv680,4,2,49.5,,47,37,15,9,5,
13Fv171,4,1,49.5,,46,33,15,4,6,
13Fv171,4,2,49.5,,47,32,20,7,4,
13Fv179,4,1,49.5,,48,33,20,6,4,
13Fv179,4,2,49.5,,46,34,13,5,0,
14Fv3,4,1,50,,47,37,7,5,3,
14Fv3,4,2,50,,49,31,9,10,3,
14Fv15,4,1,49,,42,20,2,0,0,
14Fv15,4,2,49,,44,20,2,0,0,
14Fv24,4,1,49,,47,20,1,0,0,
14Fv24,4,2,49,,45,26,2,0,0,
14Fv29,4,1,49.5,,46,26,8,1,0,
14Fv29,4,2,49.5,,48,23,2,0,0,
14Fv30,4,1,49,,47,24,1,2,0,
14Fv30,4,2,49,,49,17,2,2,0,
14Fv7,4,1,50,,50,29,5,0,0,
14Fv7,4,2,50,,48,28,4,3,0,
14Fv32,4,1,48,,45,28,6,0,0,
14Fv32,4,2,48,,46,25,6,2,0,
14Fv34,4,1,48.5,,49,30,13,2,0,
14Fv34,4,2,48.5,,44,27,13,4,1,
14Fv36,4,1,48,,47,29,14,0,3,
14Fv36,4,2,48,,46,29,11,0,1,
14Fv37,4,1,48.5,,50,42,22,6,0,
14Fv37,4,2,48.5,,45,38,20,8,0,
13Fv202,5,1,48.5,,49,38,13,1,0,
13Fv202,5,2,48.5,,49,36,12,1,0,
13Fv204,5,1,48.5,,48,37,10,8,0,
13Fv204,5,2,48.5,,48,38,8,5,3,
13Fv207,5,1,49.5,,49,42,20,6,0,
13Fv207,5,2,49.5,,49,40,18,4,2,
13Fv182,5,1,50,,47,39,14,2,1,
13Fv182,5,2,50,,46,44,13,5,2,
13Fv209,5,1,49,,49,41,25,6,1,
13Fv209,5,2,49,,48,39,28,7,2,
10Fv680,5,1,50,,48,25,2,1,0,
10Fv680,5,2,50,,48,22,2,0,0,
14Fv15,5,1,50,,47,31,8,3,0,
14Fv15,5,2,50,,47,29,8,1,0,
14Fv30,5,1,49.5,,49,39,22,13,1,
14Fv30,5,2,49.5,,49,35,20,8,1,
14Fv24,5,1,50,,49,38,16,8,2,
14Fv24,5,2,50,,49,36,11,5,1,
14Fv34,5,1,49,,48,25,7,5,0,
14Fv34,5,2,49,,48,27,10,3,1,
14Fv7,5,1,49.5,,46,24,8,1,0,
14Fv7,5,2,49.5,,48,28,7,1,0,
14Fv29,5,1,50,,48,31,14,4,1,
14Fv29,5,2,50,,50,34,14,5,0,
14Fv36,5,1,50,,49,34,21,11,3,
14Fv36,5,2,50,,48,30,19,7,3,
14Fv31,5,1,50,,49,33,11,4,1,
14Fv31,5,2,50,,48,36,5,5,0,
14Fv3,5,1,49.5,,48,36,16,4,1,
14Fv3,5,2,49.5,,49,35,7,4,1,
14Fv37,5,1,49.5,,50,41,20,5,1,
14Fv37,5,2,49.5,,49,43,15,5,2,
14Fv22,6,1,49.5,,45,35,8,0,0,
14Fv22,6,2,49.5,,46,30,8,1,0,
10Fv680-3,6,1,49,,49,44,23,13,1,
10Fv680-3,6,2,49,,50,48,22,13,2,
10Fv680-12,6,1,48,,44,20,0,0,0,
10Fv680-12,6,2,48,,43,27,0,0,0,
14Fv9,6,1,49,,45,34,14,0,2,
14Fv9,6,2,49,,46,30,8,1,0,
14Fv14,6,1,49.5,,44,24,3,1,0,
14Fv14,6,2,49.5,,47,27,5,2,0,
14Fv12,6,1,48.5,,48,30,4,3,0,
14Fv12,6,2,48.5,,44,25,6,2,0,
14Fv19,6,1,49.5,,44,21,5,0,0,
14Fv19,6,2,49.5,,45,24,4,0,0,
14Fv26,6,1,49.5,,45,27,7,3,0,
14Fv26,6,2,49.5,,45,26,9,1,0,
10Fv680,7,1,50,,47,31,16,1,0,
10Fv680,7,2,50,,49,33,17,2,0,
14Fv1,7,1,49,,47,35,13,4,1,
14Fv1,7,2,49,,48,35,10,5,0,
14Fv6,7,1,47.5,,49,29,5,2,0,
14Fv6,7,2,47.5,,48,27,7,1,0,
14Fv9,7,1,49,,46,29,5,2,0,
14Fv9,7,2,49,,48,33,7,5,0,
14Fv12,7,1,48.5,,46,28,5,2,0,
14Fv12,7,2,48.5,,47,28,5,3,1,
14Fv14,7,1,49.5,,48,26,3,2,0,
14Fv14,7,2,49.5,,48,31,4,3,0,
14Fv16,7,1,49.5,,47,37,10,3,0,
14Fv16,7,2,49.5,,48,37,8,5,0,
14Fv17,7,1,49.5,,49,31,3,0,0,
14Fv17,7,2,49.5,,47,29,3,1,0,
14Fv21,7,1,50,,47,26,5,3,0,
14Fv21,7,2,50,,48,28,4,2,0,
14Fv24,7,1,49.5,,49,40,14,6,1,
14Fv24,7,2,49.5,,48,39,16,6,2,
14Fv26,7,1,49,,46,34,9,5,1,
14Fv26,7,2,49,,49,32,3,4,0,
14Fv28,7,1,49.5,,45,34,5,3,0,
14Fv28,7,2,49.5,,46,32,6,3,0,
14Fv30,7,1,50,,48,38,9,4,0,
14Fv30,7,2,50,,48,39,17,3,0,
14Fv31,7,1,50,,49,35,7,2,0,
14Fv31,7,2,50,,49,29,5,1,0,
14Fv32,7,1,50,,48,30,16,3,0,
14Fv32,7,2,50,,46,28,9,3,0,
13Fv182,7,1,50,,48,38,11,3,0,
13Fv182,7,2,50,,48,36,13,5,0,
13Fv202,7,1,49.5,,47,32,10,5,1,
13Fv202,7,2,49.5,,48,38,9,5,1,
13Fv204,7,1,49,,48,33,17,4,1,
13Fv204,7,2,49,,48,32,19,6,0,
13Fv207,7,1,49,,48,26,9,2,0,
13Fv207,7,2,49,,48,22,5,2,0,
13Fv209,7,1,49,,48,38,11,3,1,
13Fv209,7,2,49,,48,41,9,4,0,
10Fv680,8,1,49.5,,50,37,18,5,0,
10Fv680,8,2,49.5,,48,33,19,4,1,
10Fv680,8,1,49,,48,36,13,6,1,
10Fv680,8,2,49,,49,34,18,4,0,
14Fv1,8,1,50,,49,32,21,13,2,
14Fv1,8,2,50,,48,33,19,11,1,
14Fv6,8,1,49,,49,33,13,3,0,
14Fv6,8,2,49,,50,31,11,4,1,
14Fv16,8,1,49.5,,48,36,11,4,0,
14Fv16,8,2,49.5,,48,34,12,3,0,
14Fv17,8,1,49.5,,46,34,14,3,1,
14Fv17,8,2,49.5,,46,35,15,2,2,
14Fv19,8,1,49.5,,45,36,16,3,0,
14Fv19,8,2,49.5,,47,35,16,5,0,
14Fv21,8,1,49.5,,48,33,15,8,2,
14Fv21,8,2,49.5,,49,30,17,4,2,
14Fv22,8,1,49,,50,36,18,4,0,
14Fv22,8,2,49,,48,34,21,6,1,
14Fv28,8,1,50,,47,36,15,5,0,
14Fv28,8,2,50,,49,34,20,0,1,
13Fv163,8,1,50,,49,32,10,7,3,
13Fv163,8,2,50,,49,32,14,6,0,
13Fv185,8,1,49,,50,36,16,5,1,
13Fv185,8,2,49,,49,32,14,6,2,
13Fv186,8,1,49.5,,48,27,8,5,0,
13Fv186,8,2,49.5,,47,29,8,5,0,
13Fv193,8,1,50,,48,33,22,9,0,
13Fv193,8,2,50,,49,32,17,3,2,
13Fv195,8,1,49.5,,50,33,13,4,0,
13Fv195,8,2,49.5,,49,35,14,4,0,
13Fv196,8,1,50,,50,30,13,5,0,
13Fv196,8,2,50,,50,28,13,2,0,
13Fv199,8,1,49.5,,50,19,0,0,0,
13Fv199,8,2,49.5,,50,25,0,0,0,
13Fv201,8,1,50,,49,34,7,3,0,
13Fv201,8,2,50,,48,38,8,5,1,
10Fv680,9,1,48.5,,47,30,10,2,0,
10Fv680,9,2,48.5,,47,34,8,6,0,
13Fv163,9,1,49,,47,34,9,1,0,
13Fv163,9,2,49,,46,34,8,3,1,
13Fv185,9,1,48,,45,32,10,3,0,
13Fv185,9,2,48,,45,31,8,0,0,
13Fv186,9,1,49,,48,32,9,4,0,
13Fv186,9,2,49,,49,31,11,0,0,
13Fv193,9,1,47.5,,47,28,13,1,0,
13Fv193,9,2,47.5,,47,33,12,2,0,
13Fv195,9,1,50,,48,37,13,8,0,
13Fv195,9,2,50,,48,39,11,7,0,
13Fv201,9,1,49.5,,46,38,12,4,2,
13Fv201,9,2,49.5,,48,38,12,5,2,
13Fv196,9,1,50,,47,34,15,4,0,
13Fv196,9,2,50,,48,36,18,3,0,
14Fv39,9,1,49.5,,46,29,12,1,0,
14Fv39,9,2,49.5,,46,29,10,2,0,
14Fv40,9,1,50,,47,35,10,3,1,
14Fv40,9,2,50,,49,37,8,4,0,
14Fv41,9,1,50,,48,30,8,4,0,
14Fv41,9,2,50,,48,32,10,5,0,
14Fv42,9,1,49.5,,45,36,12,7,0,
14Fv42,9,2,49.5,,45,38,10,8,0,
14Fv45,9,1,49.5,,49,22,0,0,0,
14Fv45,9,2,49.5,,49,21,0,0,0,
14Fv46,9,1,49.5,,50,37,21,11,5,
14Fv46,9,2,49.5,,49,37,25,10,5,
14Fv47,9,1,50,,48,38,21,5,1,
14Fv47,9,2,50,,50,38,20,4,1,
14Fv48,9,1,49.5,,48,38,12,3,0,
14Fv48,9,2,49.5,,49,34,21,5,0,
14Fv49,9,1,49.5,,47,38,11,8,1,
14Fv49,9,2,49.5,,48,33,16,7,0,
14Fv50,9,1,49.5,,48,34,9,4,2,
14Fv50,9,2,49.5,,50,30,10,5,1,
10Fv680,10,1,49.5,,50,36,14,3,0,
10Fv680,10,2,49.5,,50,35,14,3,0,
14Fv39,10,1,50,,48,37,13,4,0,
14Fv39,10,2,50,,48,34,16,6,0,
14Fv40,10,1,50,,48,32,16,4,1,
