Strain	Conc	Rep	Area1	Area2	Rel_Area
22276	0	1	0.88	3.92	3.04
22276	0	2	0.94	4.7	3.76
22276	0	3	0.74	3.55	2.81
22276	1	1	0.43	2.35	1.92
22276	1	2	0.4	1.89	1.49
22276	1	3	0.51	2.79	2.28
22276	5	1	0.13	0.43	0.3
22276	5	2	0.1	0.41	0.31
22276	5	3	0.09	0.46	0.37
22276	10	1	0.11	0.41	0.3
22276	10	2	0.11	0.39	0.28
22276	10	3	0.11	0.36	0.25
22276	25	1	0.06	0.26	0.2
22276	25	2	0.05	0.22	0.17
22276	25	3	0.05	0.23	0.18
22276	50	1	0.04	0.28	0.24
22276	50	2	0.03	0.33	0.3
22276	50	3	0.04	0.69	0.65
22276	100	1	0.04	0.11	0.07
22276	100	2	0.05	0.27	0.22
22276	100	3	0.05	0.35	0.3
22387	0	1	1.82	12.2	10.38
22387	0	2	1.67	12.08	10.41
22387	0	3	1.72	12.28	10.56
22387	1	1	1.39	11.44	10.05
22387	1	2	1.62	11.45	9.83
22387	1	3	1.56	11.87	10.31
22387	5	1	1.26	10.37	9.11
22387	5	2	1.61	11.31	9.7
22387	5	3	1.5	11.34	9.84
22387	10	1	1.42	11.1	9.68
22387	10	2	1.45	10.75	9.3
22387	10	3	1.51	11.32	9.81
22387	25	1	1.26	11.75	10.49
22387	25	2	1.11	10.88	9.77
22387	25	3	1.15	11.31	10.16
22387	50	1	1.07	10.99	9.92
22387	50	2	1.2	11.33	10.13
22387	50	3	1.08	11.31	10.23
22387	100	1	1.22	11.48	10.26
22387	100	2	1.27	11.31	10.04
22387	100	3	1.33	11.43	10.1
22395	0	1	1.13	10.75	9.62
22395	0	2	1.18	10.78	9.6
22395	0	3	1.24	11.48	10.24
22395	1	1	0.24	2.9	2.66
22395	1	2	0.21	2.55	2.34
22395	1	3	0.31	3.35	3.04
22395	5	1	0.15	2.07	1.92
22395	5	2	0.12	2.12	2
22395	5	3	0.16	2	1.84
22395	10	1	0.14	2.57	2.43
22395	10	2	0.16	3.23	3.07
22395	10	3	0.17	3.07	2.9
22395	25	1	0.11	1.66	1.55
22395	25	2	0.11	1.64	1.53
22395	25	3	0.11	1.79	1.68
22395	50	1	0.13	2	1.87
22395	50	2	0.13	1.98	1.85
22395	50	3	0.12	1.88	1.76
22395	100	1	0.1	1.32	1.22
22395	100	2	0.1	1.52	1.42
22395	100	3	0.08	1.56	1.48
22678	0	1	0.45	2.99	2.54
22678	0	2	0.7	3.53	2.83
22678	0	3	0.43	2.55	2.12
22678	1	1	0.27	2.09	1.82
22678	1	2	0.26	2.29	2.03
22678	1	3	0.24	2.83	2.59
22678	5	1	0.11	0.72	0.61
