1@ARLE_A1:50	3.731	0.981	1.661	5.801
1@INMO_C3:50	2.475	0.388	1.658	3.293
1@KSSH_A4:50	3.544	2.107	-0.901	7.990
1@KSSH_C3:50	3.472	1.275	0.782	6.163
1@MISTJ_D5:50	7.00	1.97	2.85	11.15
1@MIVB_A6:50	4.61	1.58	1.28	7.93
1@MIVB_G7:50	11.43	6.76	-2.83	25.68
1@Mo4a:50	2.908	0.737	1.353	4.462
1@STJ_7P2ss:50	3.59	1.17	1.10	6.08
10@ARLE_B2:50	3.680	0.537	2.546	4.813
10@Ber1-9:50	3.439	0.389	2.618	4.259
10@INMO_A6:50	4.473	0.818	2.748	6.199
10@INMO_E1:50	3.160	0.408	2.299	4.021
10@KSSH_C5:50	3.428	0.532	2.306	4.549
10@KSSH_G2:50	3.728	0.605	2.452	5.005
10@MIBer_A1:50	3.792	0.473	2.795	4.790
10@MIBer_B4:50	3.744	0.579	2.523	4.966
10@MIBer_F3:50	3.747	0.553	2.579	4.914
10@MIIN_B7:50	2.318	0.176	1.948	2.689
10@MIVB_A1:50	3.201	0.372	2.416	3.987
10@MIVB_C1:50	3.785	0.501	2.728	4.841
10@Mo1a_2:50	3.705	0.497	2.657	4.753
11@ARLE_C3a:50	17.7	17.2	-18.5	53.9
11@MIBer_A5:50	3.96	4.35	-5.22	13.14
11@MISTJ_E4:50	4.002	1.478	0.884	7.121
11@MISTJ_F6:50	4.50	1.06	2.25	6.74
11@STJ_3a:50	3.548	0.997	1.445	5.650
12@ARLE_C1:50	2.585	0.143	2.283	2.887
12@INMO_A3:50	2.670	0.248	2.145	3.194
12@INMO_F1:50	4.73	1.12	2.36	7.10
12@KSSH_A1:50	3.275	0.357	2.523	4.028
12@KSSH_A2:50	2.172	0.182	1.789	2.555
12@MISTJ_C6:50	2.428	0.446	1.486	3.370
12@MITU_B1:50	4.011	1.463	0.925	7.098
12@MITU_C2:50	2.125	0.201	1.702	2.549
12@MIVB_A5:50	3.793	0.445	2.854	4.733
12@Mo2a:50	2.59	0.16	2.26	2.93
13@13Fv163:50	2.470	0.165	2.116	2.825
13@13Fv182:50	2.299	0.285	1.687	2.912
13@13Fv185:50	3.525	0.372	2.726	4.323
13@13Fv186:50	2.152	0.227	1.665	2.640
13@13Fv193:50	3.712	0.479	2.685	4.739
13@13Fv196:50	3.182	0.292	2.555	3.809
13@14Fv1:50	5.235	0.865	3.380	7.091
13@14Fv12:50	2.813	0.227	2.325	3.300
13@14Fv14:50	2.24	0.17	1.88	2.60
13@14Fv21:50	2.814	0.224	2.333	3.295
13@14Fv26:50	2.62	0.25	2.08	3.15
13@14Fv9:50	2.608	0.256	2.059	3.156
14@ARLE_C2:50	2.342	0.305	1.699	2.985
14@Ca1a:50	4.47	1.40	1.52	7.42
14@DB_P30R5:50	2.904	0.337	2.194	3.615
14@Hu-11-1:50	2.344	0.244	1.830	2.859
14@KSSH_A7:50	2.348	0.311	1.693	3.004
14@MIBer_A6:50	3.798	0.812	2.084	5.512
14@MIIN_B7:50	2.038	0.227	1.559	2.517
14@MISTJ_D6:50	1.21	18.93	-38.73	41.15
14@MISTJ_E4:50	2.298	0.229	1.814	2.781
