"","Strain","Set","strainSet","EC50.LL4","StdErr.LL4","Lower.LL4","Upper.LL4","EC50.BC4","StdErr.BC4","Lower.BC4","Upper.BC4","diff"
"2","AL1a","2","AL1a@2",3.09528742688551,0.487617778180469,2.06650384245189,4.12407101131914,5.13773780156062,0.596586221931404,3.87905089700902,6.39642470611222,2.04245037467511
"3","ARLE_A1","1","ARLE_A1@1",3.73075959137996,0.981195436189362,1.66061817520869,5.80090100755123,5.7740279710521,1.13358438208694,3.38237398293652,8.16568195916768,2.04326837967214
"20","Mo4a","1","Mo4a@1",2.90760258470218,0.736649820705739,1.35340731756909,4.46179785183526,5.16907114589669,0.973615805906851,3.11492135176968,7.2232209400237,2.26146856119451
"15","MIVB_A5","2","MIVB_A5@2",1.20483806527579,0.109897776515636,0.962954690037809,1.44672144051377,3.67184983492755,0.410062760169841,2.76930778508751,4.57439188476758,2.46701176965176
"17","MIVB_C1","10","MIVB_C1@10",3.78486805224672,0.500814218572776,2.72824241230146,4.84149369219198,9.13694685605122,1.4687926945311,6.03806514852173,12.2358285635807,5.3520788038045
"14","MITU_B1","12","MITU_B1@12",4.01107175230907,1.46289264765317,0.924638055592582,7.09750544902555,9.98340096733465,2.46028818432077,4.79264663009545,15.1741553045738,5.97232921502558
"11","MISTJ_A1","3","MISTJ_A1@3",4.12309923325536,1.03036936716608,1.93881375164474,6.30738471486598,10.4415587467311,4.13198493087824,1.6821419954599,19.2009754980022,6.31845951347569
"23","STJ_7P2ss","1","STJ_7P2ss@1",3.59335484947112,1.17462939975208,1.10325176031561,6.08345793862663,9.92572198713394,3.65706025684149,2.17310056908424,17.6783434051837,6.33236713766282
"8","MIBer_E6","3","MIBer_E6@3",3.74396651650651,0.790079235509058,2.07704503770686,5.41088799530616,11.1342254453804,3.77881838079823,3.16161555976939,19.1068353309914,7.39025892887386
"18","Mo1a_2","10","Mo1a_2@10",3.70508239753604,0.496903515259817,2.65670762036074,4.75345717471134,12.2045546804206,2.18014957453199,7.60484114606633,16.8042682147749,8.49947228288455
"9","MIBer_F3","10","MIBer_F3@10",3.7466733427592,0.553322729203913,2.57926442911554,4.91408225640286,13.3752359100047,2.77988351848346,7.51019435814621,19.2402774618632,9.62856256724552
"6","KSSH_G2","10","KSSH_G2@10",3.72822980414554,0.604972961485748,2.45184842583495,5.00461118245612,14.6587128323902,3.02612329556171,8.2741507629698,21.0432749018106,10.9304830282446
"10","MISA_A1","7","MISA_A1@7",4.46530238946332,1.11578589462742,2.11119992745171,6.81940485147494,20.1573990008188,5.08600966612991,9.42685657820712,30.8879414234306,15.6920966113555
"19","Mo3a","9","Mo3a@9",4.38479156824864,0.923257058576155,2.4368894437201,6.33269369277718,23.8319080562626,6.93535718956503,9.19958341988001,38.4642326926452,19.447116488014
"5","INMO_A6","10","INMO_A6@10",4.47327823739038,0.817836265917018,2.74779454344163,6.19876193133914,26.0929487228421,5.91550268632015,13.612329004529,38.5735684411552,21.6196704854517
"16","MIVB_A6","1","MIVB_A6@1",4.60789641490833,1.57685225148158,1.28102897079095,7.9347638590257,27.3752336157445,11.0984262370322,3.95960105141998,50.7908661800691,22.7673372008362
"21","Mont1","14","Mont1@14",9.33731333700212,2.00410664890632,5.10901790950024,13.565608764504,34.099823319279,7.63718219042093,17.9867773631778,50.2128692753803,24.7625099822769
"13","MISTJ_F6","11","MISTJ_F6@11",4.49671203151324,1.06354113644526,2.25283637417448,6.74058768885201,30.4542166779849,8.88621954754289,11.705932248532,49.2025011074379,25.9575046464717
"1","14Fv1","13","14Fv1@13",5.2350998096726,0.865075867863289,3.37969660424048,7.09050301510472,33.3925854445717,6.49084107128202,19.4711159214959,47.3140549676475,28.1574856348991
"12","MISTJ_E4","11","MISTJ_E4@11",4.00233492377505,1.47822711779299,0.883548323079753,7.12112152447035,36.1883702243721,13.2532428801884,8.22647193894208,64.150268509802,32.186035300597
"22","Mont1","7","Mont1@7",4.50567638970793,1.3939730228544,1.56465039101032,7.44670238840555,42.012193981008,11.3953350914107,17.970138490519,66.0542494714969,37.5065175913
"4","Ca2a","4","Ca2a@4",4.29590733257679,1.65801439862594,0.797802726083849,7.79401193906974,117.875886000247,96.2785787845157,-85.2541593309766,321.00593133147,113.57997866767
"7","MIBer_E4","8","MIBer_E4@8",7.70148246476609,3.0005593905359,1.3708555203994,14.0321094091328,231.416387810768,170.19009991955,-127.653336192508,590.486111814044,223.714905346002
"24","KSSH_A4","1","KSSH_A4@1",NA,NA,NA,NA,11.4591170722832,4.17497049061258,2.65069929419433,20.267534850372,NA
"25","ARLE_C3a","11","ARLE_C3a@11",NA,NA,NA,NA,270.180512681957,187.663290167464,-125.754420300813,666.115445664726,NA
"26","MIBer_A5","11","MIBer_A5@11",NA,NA,NA,NA,22.2857908070184,9.16068546860162,2.95843390173144,41.6131477123054,NA
"27","MIBer_D1","2","MIBer_D1@2",NA,NA,NA,NA,7.77518516574551,1.36705198838456,4.76632402623733,10.7840463052537,NA
"28","MITU_B1","2","MITU_B1@2",NA,NA,NA,NA,11.8471919990972,3.75768660128313,3.91916627109451,19.7752177270999,NA
"29","LE-11-1","3","LE-11-1@3",NA,NA,NA,NA,154.548149684508,130.27681387459,-121.626358413897,430.722657782913,NA
